,Voxel,Associated System,PC
663,1664,Cingulo-opercular,0.566158351509
664,1665,Cingulo-opercular,0.61333953561
665,1666,Cingulo-opercular,0.582470565157
666,1667,Cingulo-opercular,0.668140560309
667,1668,Cingulo-opercular,0.814466164783
668,1669,Sailency,0.834132863889
669,1670,Sailency,0.788599229735
670,1671,Sailency,0.877637655142
671,1672,Sailency,0.891089138791
672,1673,Cingulo-opercular,0.875099975814
673,1674,Cingulo-opercular,0.824234539168
674,1675,Cingulo-opercular,0.681916896475
675,1676,Cingulo-opercular,0.650916377246
676,1677,Cingulo-opercular,0.57819516252
677,1678,Cingulo-opercular,0.670154622739
678,1679,Cingulo-opercular,0.669126686623
679,1680,Cingulo-opercular,0.635417492814
680,1681,Sailency,0.691781971379
681,1682,Sailency,0.740299487114
682,1683,Cingulo-opercular,0.869100619508
683,1684,Default,0.887170254187
684,1685,Default,0.891906025177
685,1686,Default,0.890685396247
686,1687,Cingulo-opercular,0.827759308625
687,1688,Cingulo-opercular,0.781664007632
688,1689,Cingulo-opercular,0.66703627409
689,1690,Cingulo-opercular,0.656150960257
690,1691,Cingulo-opercular,0.691235711888
691,1692,Default,0.653270272816
692,1693,Sailency,0.676436373226
693,1694,Sailency,0.777651983568
694,1695,Cingulo-opercular,0.903118946769
695,1696,Default,0.857590817822
696,1697,Cingulo-opercular,0.737586708259
697,1698,Cingulo-opercular,0.835231760218
698,1699,Cingulo-opercular,0.530715445087
699,1700,Cingulo-opercular,0.637741749806
700,1701,Sailency,0.769518272424
701,1702,Sailency,0.666575481456
702,1703,Cingulo-parietal,0.887011757253
703,1704,Default,0.811574350086
704,1705,Sailency,0.877404178911
705,1706,Sailency,0.880769891471
706,1707,Somatomotor,0.864324101232
707,1708,Somatomotor,0.932239743436
708,1709,Somatomotor,0.916692930375
709,1710,Somatomotor,0.842219975492
710,1711,Default,0.857065343528
711,1712,Default,0.815778037112
712,1713,Somatomotor,0.904284670393
713,1714,Cingulo-parietal,0.931398000096
714,1715,Cingulo-parietal,0.937980148417
715,1716,Cingulo-parietal,0.911411297954
716,1717,Somatomotor,0.826122999758
717,1718,Sailency,0.734204627455
718,1719,Visual,0.677229105089
719,1720,Default,0.724600141085
720,1721,Default,0.797742837043
721,1722,Attention,0.851499885513
722,1723,Attention,0.902707931945
723,1724,Attention,0.84555497302
724,1725,Cingulo-parietal,0.862635523325
725,1726,Visual,0.858481857553
726,1727,Visual,0.806960594565
727,1728,Visual,0.815263894211
728,1729,Visual,0.756842458177
729,1730,Visual,0.765434973005
730,1731,Visual,0.867374609793
731,1732,Visual,0.841985945027
732,1733,Visual,0.809659289164
733,1734,Visual,0.799165127915
734,1735,Attention,0.74694550167
735,1736,Attention,0.755116369441
736,1737,Attention,0.75868359179
737,1738,Default,0.697879658591
738,1739,Default,0.765780452107
739,1740,Default,0.782830407322
740,1741,Attention,0.823880120906
741,1742,Attention,0.818477794819
742,1743,Attention,0.688619851852
743,1744,Visual,0.630730033439
744,1745,Visual,0.352032209853
745,1746,Visual,0.513108647582
746,1747,Visual,0.549502400528
747,1748,Visual,0.485482785921
748,1749,Visual,0.462428347989
749,1750,Visual,0.610048066988
750,1751,Visual,0.607829964552
751,1752,Visual,0.333027132143
752,1753,Visual,0.330635857899
753,1754,Visual,0.512916824844
754,1755,Attention,0.620364514822
755,1756,Attention,0.81249992724
756,1757,Temporal,0.773410261525
757,1758,Temporal,0.795338455406
758,1759,Default,0.768666058627
759,1760,Default,0.759257018592
760,1761,Default,0.777950631611
761,1762,Default,0.804337749814
762,1763,Temporal,0.812554181452
763,1764,Temporal,0.804954793949
764,1765,Attention,0.751572438534
765,1766,Visual,0.571284794394
766,1767,Visual,0.559621985302
767,1768,Visual,0.500356456133
768,1769,Visual,0.480052790301
769,1770,Visual,0.522055746511
770,1771,Visual,0.455286270735
771,1772,Visual,0.290123590111
772,1773,Visual,0.359317699186
773,1774,Visual,0.369512415175
774,1775,Visual,0.419266613955
775,1776,Visual,0.486879571365
776,1777,Visual,0.673137515614
777,1778,Attention,0.653538509671
778,1779,Temporal,0.672917262128
779,1780,Temporal,0.74631607454
780,1781,Temporal,0.787147132572
781,1782,Temporal,0.755753255455
782,1783,Cingulo-opercular,0.778554208322
783,1784,Cingulo-opercular,0.773435354596
784,1785,Default,0.825934813208
785,1786,Temporal,0.828591849089
786,1787,Somatomotor,0.840616187226
787,1788,Somatomotor,0.721829143848
788,1789,Somatomotor,0.694040479263
789,1790,Somatomotor,0.75615677413
790,1791,Visual,0.743495281767
791,1792,Visual,0.663471558898
792,1793,Visual,0.540095892415
793,1794,Visual,0.542722040995
794,1795,Visual,0.593231342661
795,1796,Visual,0.470617906804
796,1797,Visual,0.292977336971
797,1798,Visual,0.286615263575
798,1799,Visual,0.398519990251
799,1800,Visual,0.590186345712
800,1801,Visual,0.542398392559
801,1802,Somatomotor,0.652464725399
802,1803,Somatomotor,0.687568353752
803,1804,Somatomotor,0.663311293306
804,1805,Somatomotor,0.717209179282
805,1806,Temporal,0.834432742134
806,1807,Cingulo-opercular,0.807866539485
807,1808,Cingulo-opercular,0.806898912605
808,1809,Cingulo-opercular,0.747527573548
809,1810,Cingulo-opercular,0.833399786695
810,1811,Default,0.882792870877
811,1812,Temporal,0.785259325578
812,1813,Somatomotor,0.784430254393
813,1814,Somatomotor,0.578477298506
814,1815,Somatomotor,0.582522783799
815,1816,Somatomotor,0.660144547724
816,1817,Somatomotor,0.744230026427
817,1818,Visual,0.5789726909
818,1819,Visual,0.514077913028
819,1820,Visual,0.520530057857
820,1821,Visual,0.600990051641
821,1822,Visual,0.482151498192
822,1823,Visual,0.521972922497
823,1824,Visual,0.478156594107
824,1825,Visual,0.494843754316
825,1826,Visual,0.60750935046
826,1827,Somatomotor,0.187570655361
827,1828,Somatomotor,0.434773275975
828,1829,Somatomotor,0.490777514155
829,1830,Somatomotor,0.434420038014
830,1831,Somatomotor,0.571005100235
831,1832,Cingulo-opercular,0.756333886244
832,1833,Cingulo-opercular,0.852603990735
833,1834,Cingulo-opercular,0.799536301809
834,1835,Sailency,0.791177925046
835,1836,Cingulo-opercular,0.865346993912
